company,name,technology,type,chp,fuel,secondary_fuel,capacity_mw,grid_connection,country,Region,Postcode,OS Reference,X-Coordinate,Y-Coordinate,Year Commissioned,DESNZ site code,lat,lon
Statkraft,Andershaw,Wind,Onshore,No,Wind,,36.0,HV,Scotland,Scotland,ML126SX,,283500.0,625500.0,2017.0,WON-001146,55.50932640838778,-3.8462637410043152
Temporis Capital,Osspower,Hydro,Small Hydro,No,Hydro,,1.995,LV,Scotland,Scotland,G837DX,,0.0,0.0,2012.0,HNF-000455,49.766807235142615,-7.55715980690519
Temporis Capital,Derrydarroch,Hydro,Small Hydro,No,Hydro,,1.995,LV,Scotland,Scotland,G837DX,,212176.0,775418.0,2015.0,HNF-000741,56.83216164652242,-5.080141330295978
Temporis Capital,Upper Falloch,Hydro,Small Hydro,No,Hydro,,0.896,LV,Scotland,Scotland,FK208RL,,0.0,0.0,2015.0,HNF-000742,49.766807235142615,-7.55715980690519
Temporis Capital,Ransonmoor,Wind,Onshore,No,Wind,,10.0,LV,England,East of England,PE150TY,,537950.0,292470.0,2007.0,WON-000304,52.51266841490864,0.03137539036643517
Temporis Capital,Greendykeside,Wind,Onshore,No,Wind,,4.0,LV,Scotland,Scotland,ML67TT,,281134.0,670403.0,2007.0,WON-000316,55.91199366113569,-3.9032161916312433
Temporis Capital,Craig,Wind,Onshore,No,Wind,,10.0,HV,Scotland,Scotland,DG130NZ,,331995.0,586055.0,2007.0,WON-000320,55.16411812246774,-3.0689924136718707
Temporis Capital,Lochhead,Wind,Onshore,No,Wind,,6.0,LV,Scotland,Scotland,ML93PP,,275500.0,646500.0,2009.0,WON-000362,55.69592995629643,-3.9823487397043014
Temporis Capital,Achairn,Wind,Onshore,No,Wind,,6.0,LV,Scotland,Scotland,KW15SG,,329950.0,950650.0,2009.0,WON-000364,58.43851819897462,-3.2015062351125563
Temporis Capital,Muirhall,Wind,Onshore,No,Wind,,12.3,LV,Scotland,Scotland,EH558LN,,300605.0,653760.0,2010.0,WON-000398,55.766934464828076,-3.585765385879821
Temporis Capital,White Mill,Wind,Onshore,No,Wind,,14.35,LV,England,East of England,PE140LX,,545100.0,301570.0,2012.0,WON-000469,52.59256452871289,0.14063440762083695
Temporis Capital,Biggleswade,Wind,Onshore,No,Wind,,20.0,LV,England,East of England,SG189TA,,521653.0,240193.0,2013.0,WON-000558,52.04678892490712,-0.22748412738596188
Temporis Capital,Weston,Wind,Onshore,No,Wind,,4.0,LV,England,East of England,PE378JX,,609009.0,315326.0,2014.0,WON-000648,52.69525642253765,1.0915444113095565
Temporis Capital,Pickenham,Wind,Onshore,No,Wind,,4.0,LV,England,East of England,PE378JX,,585114.0,306597.0,2014.0,WON-000649,52.62556381099403,0.7335086877392816
Temporis Capital,Eye,Wind,Onshore,No,Wind,,6.8,LV,England,East of England,SG189TA,,613137.0,274854.0,2014.0,WON-000650,52.33035590383316,1.126618487554313
Temporis Capital,Halesworth,Wind,Onshore,No,Wind,,10.0,LV,England,East of England,IP198NH,,640461.0,278558.0,2015.0,WON-000760,52.35231065788816,1.5295017561783943
Temporis Capital,Craig 2,Wind,Onshore,No,Wind,,4.7,HV,Scotland,Scotland,DG130NZ,,333264.0,587956.0,2017.0,WON-001160,55.18137047770428,-3.0495258634825317
Temporis Capital,Dunsland Cross,Wind,Onshore,No,Wind,,6.15,LV,England,South West,EX227AW,,242041.0,107244.0,2017.0,WON-001170,50.843100923890276,-4.244963865223255
Temporis Capital,Newark,Wind,Onshore,No,Wind,,6.0,LV,England,East Midlands,NG243SD,,479589.0,350765.0,2017.0,WON-001173,53.04823402505061,-0.8141970400821195
Temporis Capital,Blackcraig,Wind,Onshore,No,Wind,,52.9,HV,Scotland,Scotland,DG73DZ,,270500.0,582500.0,2018.0,WON-001265,55.11991239799602,-4.0321180807000685
Temporis Capital,Tullymurdoch,Wind,Onshore,No,Wind,,14.4,LV,Scotland,Scotland,PH118LH,,319575.0,752228.0,2018.0,WON-001267,56.65490848904886,-3.3134138177532892
The Banks Group,Hazlehead Wind Farm,Wind,Onshore,No,Wind,,6.15,LV,England,Yorkshire and the Humber,HD92TR,,417915.0,403915.0,2011.0,WON-000421,53.53158974568334,-1.7311982470799803
The Banks Group,Marr Wind Farm,Wind,Onshore,No,Wind,,8.2,LV,England,Yorkshire and the Humber,DN57AZ,,451425.0,405250.0,2012.0,WON-000461,53.54138436229105,-1.2254699217816978
The Banks Group,Armistead Wind Farm,Wind,Onshore,No,Wind,,12.3,LV,England,North West,LA80HT,,358500.0,486900.0,2013.0,WON-000510,54.27604999517385,-2.6388195340920304
The Banks Group,Penny Hill Wind Farm,Wind,Onshore,No,Wind,,20.4,LV,England,Yorkshire and the Humber,S669BH,,446825.0,387627.0,2013.0,WON-000518,53.38342187792097,-1.2974963508145787
The Banks Group,Heysham South Wind Farm,Wind,Onshore,No,Wind,,7.5,LV,England,North West,LA33ES,,343719.0,461193.0,2015.0,WON-000755,54.04362041738017,-2.86097726205795
The Banks Group,Hook Moor Wind Farm,Wind,Onshore,No,Wind,,10.0,LV,England,Yorkshire and the Humber,LS253EB,SE4490036085,444900.0,436085.0,2016.0,WON-000944,53.81911089628069,-1.3194727000675264
The Banks Group,Lambs Hill Wind Farm,Wind,Onshore,No,Wind,,8.0,LV,England,North East,TS211LX,NZ4368216981,443682.0,516981.0,2017.0,WON-001147,54.54620776657188,-1.326260570741142
The Banks Group,Moor House Wind Farm,Wind,Onshore,No,Wind,,12.0,LV,England,North East,DL21SN,,432599.0,520053.0,2018.0,WON-001263,54.574646548860514,-1.4972377766537892
The Banks Group,Middle Muir Wind Farm,Wind,Onshore,No,Wind,,51.0,HV,Scotland,Scotland,ML126SZ,,288964.0,625283.0,2018.0,WON-001272,55.50865089577937,-3.759704440650634
The Banks Group,Kype Muir Wind Farm,Wind,Onshore,No,Wind,,88.4,HV,Scotland,Scotland,ML106RE,,268129.0,640258.0,2019.0,WON-001281,55.63793354461616,-4.096534745189965
The Banks Group,Pates Hill,Wind,Onshore,No,Wind,,14.0,LV,Scotland,Scotland,,NS9913059300,299130.0,659300.0,2010.0,WON-001535,55.81638608679794,-3.6113177433851695
The Banks Group,Milton Keynes,Wind,Onshore,No,Wind,,14.0,LV,England,East Midlands,,SP9000049090,490000.0,249090.0,2010.0,WON-001536,52.13279375584074,-0.6865442553900045
UK Transition Limited,West Burton CCGT,Fossil Fuel,CCGT,No,Natural Gas,,1332.0,HV,England,East Midlands,DN229BL,SK800861,479368.0,384538.0,2013.0,GAS-000502,53.35178246080834,-0.8091107993367065
