name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,country,country_long,owner,commissioning_year,source,url,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,generation_gwh_latest
Dorenell Wind Farm (Previously Site A and B Scaut Hill),GBR2001057,177.0,57.3509,-3.1317,wind,,,,GBR,United Kingdom,EDF Energy Renewables/ Infinergy,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,446.2,
Dorket Head,GBR0000798,2.8,53.0215,-1.1144,waste,,,,GBR,United Kingdom,Waste Recycling Group,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,2.71,
Dorking Battery Energy Storage System,GBR2001157,6.0,51.2304,-0.3548,storage,,,,GBR,United Kingdom,Grid Battery Storage (GBSL),,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,,
Double Arches Quarry Wind Turbine,GBR0004295,1.5,51.9519,-0.6343,wind,,,,GBR,United Kingdom,Arnold White Estates (AWE Renewables),,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,3.78,
Double H Nurseries Biomass Plant,GBR0000022,1.5,50.7508,-1.6781,biomass,,,,GBR,United Kingdom,Double H Nurseries,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,,
Douglas Water,GBR0000425,3.0,56.2149,-5.1533,hydro,,,,GBR,United Kingdom,RWE npower,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,9.11,6.11,10.24,7.69,7.67,
Drakelow Solar Farm,GBR0005145,5.0,52.7742,-1.6535,solar,,,,GBR,United Kingdom,BlackRock,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,7.12,7.63,7.53,7.55,7.75,
Drapers Farm Solar Park,GBR0001658,6.0,51.8562,0.4983,solar,,,,GBR,United Kingdom,Lightsource Renewable Energy,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,9.01,9.04,8.84,8.85,8.97,
Drax,GBR0000174,1980.0,53.7356,-0.9911,coal,Biomass,,,GBR,United Kingdom,Drax Power,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,,,,,3007.6,
Drax GT,GBR1000112,75.0,53.7364,-0.9981,gas,,,,GBR,United Kingdom,Drax Power Ltd,,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,,,,,,,,,,,,348.0,
Drayton Manor Farm,GBR0005020,25.0,52.2003,-1.7751,solar,,,,GBR,United Kingdom,Anesco,,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,,,,,,,,35.17,35.62,36.24,36.48,36.88,
